File,Floor Area,Height,Volume,Number of Floors,External Wall Area,Ground Floor Area,Roof Area,Window Area,Total Heat Capacity,u-Value (Wall),u-Value (Ground Floor),u-Value (Roof),u-Value (Internal Floor),u-Value (Internal Wall),u-Value (Windows),g-Value (Windows),Heat Capacity (Floor Slabs),Infiltration,Permeability,Internal Mass,WWR (North),WWR (East),WWR (West),WWR (South),Building:Start Time,Building:Operating Hours,Building:Light Heat Gain,Building:Equipment Heat Gain,Building:Occupancy,Building:Heating Setpoint,Building:Cooling Setpoint,Boiler Efficiency,Heating COP,Cooling COP,Heating Load,Cooling Load,Lights Load,Thermal Energy,Operational Energy,EUI
Shape1_653,1872.72,3.8623046875,7233.0158196,4,956.508952529804,468.18,468.18,385.762793564233,1973140756.17966,0.23134765625,0.17802734375,0.24208984375,0.4587890625,0.5181640625,0.86962890625,0.58095703125,883.3984375,0.307,7.5029296875,87.48046875,0.298046875,0.216796875,0.486328125,0.123828125,8.193359375,10.1666666666667,8.96484375,12.04296875,18.6015625,20,25,0.93482421875,4.150390625,3.232421875,6219.3170110289,3867.3039382766,5556.1828719249,82717.8418122145,131390.003770277,70.1599832170728
Shape1_640,1030.17,3.7998046875,3914.4433999,3,562.56423741887,343.39,343.39,325.253919970712,1181180695.48244,0.17509765625,0.23427734375,0.19833984375,0.4462890625,0.4556640625,0.81337890625,0.59970703125,945.8984375,0.318,6.1904296875,76.23046875,0.223046875,0.491796875,0.261328125,0.498828125,7.068359375,10.3333333333333,9.21484375,13.79296875,18.1015625,20,25,0.96107421875,4.025390625,3.607421875,2675.535726354,3615.607319973,2783.9092528409,40851.9472758892,65238.9923307755,63.3283752494981
Shape1_622,1124.2,3.4677734375,3898.4698445,4,706.163127874703,281.05,281.05,249.3163809174,1191512396.42251,0.21689453125,0.21357421875,0.24482421875,0.5564453125,0.5970703125,0.89189453125,0.56806640625,838.8671875,0.316,6.3427734375,60.05859375,0.252734375,0.324609375,0.331640625,0.184765625,7.326171875,11,8.76171875,13.12109375,21.4453125,20,25,0.96646484375,4.205078125,2.724609375,3143.3000205891,2583.891381075,3374.1776377795,45534.2151707562,75092.0112777046,66.7959538140051
Shape1_603,1046.94,3.2021484375,3352.458921,2,458.936570548274,523.47,523.47,133.511104582553,1171482835.29546,0.15595703125,0.22138671875,0.15888671875,0.5595703125,0.5751953125,0.96220703125,0.55400390625,854.4921875,0.41,7.2333984375,75.99609375,0.258984375,0.293359375,0.225390625,0.141015625,7.169921875,10.5,9.07421875,10.55859375,16.5703125,20,25,0.95240234375,2.798828125,2.568359375,4222.131475155,1149.6977294844,3379.2874912331,55231.562706318,84834.12112952,81.0305472419814
Shape1_693,1867.52,3.5341796875,6600.1518336,4,884.330520304042,466.88,466.88,359.811261303478,1969109192.16236,0.23916015625,0.22646484375,0.21240234375,0.4494140625,0.4712890625,0.73369140625,0.52939453125,961.5234375,0.307,7.1748046875,60.29296875,0.216796875,0.123046875,0.355078125,0.430078125,7.412109375,12.1666666666667,8.90234375,10.35546875,23.9765625,20,25,0.97326171875,2.994140625,3.701171875,4676.9462159598,3501.6224636641,6126.5721418069,62354.852046113,116023.624008341,62.1271118961732
Shape1_692,921.1,3.0341796875,2794.783198,2,378.889768528656,460.55,460.55,155.173458462798,1035845628.71479,0.18916015625,0.17646484375,0.16240234375,0.5494140625,0.5712890625,0.88369140625,0.37939453125,861.5234375,0.495,8.6748046875,90.29296875,0.416796875,0.323046875,0.155078125,0.230078125,8.412109375,11.1666666666667,6.90234375,12.35546875,19.9765625,20,25,0.94326171875,3.994140625,2.701171875,4332.4486857597,1024.822834543,2279.4538482509,53474.4385513407,73442.4542620186,79.7334211942445
Shape1_664,1036.12,3.0810546875,3192.3427066,4,550.549684969806,259.03,259.03,242.918347525952,1182706060.39116,0.22197265625,0.24990234375,0.24521484375,0.4525390625,0.5869140625,0.72900390625,0.49658203125,977.1484375,0.414,8.7216796875,108.10546875,0.235546875,0.379296875,0.248828125,0.361328125,7.755859375,12.3333333333333,9.83984375,11.16796875,21.3515625,20,25,0.92919921875,3.712890625,2.794921875,3436.5002135847,2280.816035618,3715.8999613878,48518.8293485655,81070.1130103226,78.2439418313734
Shape1_663,2512.04,3.2685546875,8210.7409022,4,1044.68653144545,628.01,628.01,267.740674157552,2500281043.18247,0.19072265625,0.21865234375,0.21396484375,0.5900390625,0.5994140625,0.74775390625,0.59033203125,889.6484375,0.282,6.6591796875,74.35546875,0.360546875,0.204296875,0.123828125,0.136328125,8.380859375,11.5,7.08984375,11.91796875,19.8515625,20,25,0.97794921875,3.087890625,3.919921875,5461.5877653684,4165.7908929772,6941.5346705804,76001.1262145641,136808.969928848,54.4613023394725
Shape1_638,1728.75,3.8740234375,6697.2178375,3,860.753824678832,576.25,576.25,279.752332317381,1917845255.62251,0.16376953125,0.19794921875,0.20419921875,0.5751953125,0.5783203125,0.93876953125,0.38994140625,920.1171875,0.287,6.2490234375,80.68359375,0.365234375,0.137109375,0.244140625,0.197265625,8.388671875,10.1666666666667,8.38671875,13.74609375,19.6953125,20,25,0.94958984375,2.892578125,3.537109375,5245.2845069633,2433.0631741789,4886.063320669,67394.5539794409,110196.468668501,63.7434381307311
Shape1_623,812.76,3.9677734375,3224.8474544,3,560.706899028772,270.92,270.92,259.227187419478,999707930.510506,0.16689453125,0.16357421875,0.19482421875,0.4564453125,0.4970703125,0.74189453125,0.41806640625,938.8671875,0.39,7.8427734375,90.05859375,0.452734375,0.124609375,0.131640625,0.384765625,8.326171875,10,6.76171875,11.12109375,17.4453125,20,25,0.93646484375,3.205078125,3.724609375,4242.3279808119,1051.8932798198,1501.1877316971,51273.1668798974,64423.5714095639,79.2651845680938
